"","lastZerosProps","lastZerosProbs"
"1",0.093,0.0795892373871788
"2",0.043,0.0401965845389791
"3",0.037,0.0304582367382987
"4",0.019,0.0256490414638304
"5",0.017,0.0226842329075275
"6",0.026,0.020640159173003
"7",0.02,0.0191327318176713
"8",0.009,0.0179703162556782
"9",0.016,0.0170453735072241
"10",0.017,0.0162923650390335
"11",0.014,0.0156688300807495
"12",0.014,0.0151459347155691
"13",0.02,0.0147033587011532
"14",0.013,0.0143263495036877
"15",0.008,0.0140039365500822
"16",0.014,0.0137278025899397
"17",0.013,0.0134915451178303
"18",0.012,0.013290178772788
"19",0.013,0.0131197918654446
"20",0.015,0.0129773045686603
"21",0.015,0.0128602960848445
"22",0.01,0.0127668798905236
"23",0.011,0.0126956134158556
"24",0.007,0.0126454331256744
"25",0.017,0.012615608990944
"26",0.015,0.012605714395657
"27",0.012,0.012615608990944
"28",0.013,0.0126454331256744
"29",0.016,0.0126956134158556
"30",0.017,0.0127668798905236
"31",0.012,0.0128602960848445
"32",0.014,0.0129773045686603
"33",0.016,0.0131197918654446
"34",0.01,0.013290178772788
"35",0.018,0.0134915451178303
"36",0.01,0.0137278025899397
"37",0.005,0.0140039365500822
"38",0.014,0.0143263495036877
"39",0.02,0.0147033587011532
"40",0.014,0.0151459347155691
"41",0.017,0.0156688300807495
"42",0.018,0.0162923650390335
"43",0.012,0.0170453735072241
"44",0.017,0.0179703162556782
"45",0.02,0.0191327318176713
"46",0.021,0.020640159173003
"47",0.023,0.0226842329075275
"48",0.025,0.0256490414638304
"49",0.029,0.0304582367382987
"50",0.046,0.0401965845389791
"51",0.073,0.0795892373871788
